Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
'4202026000009276099000133725728040',1,AL,N,00000,00000,00000,000000736,00,3.50,
'4202026000009276099000133784719504',1,AL,N,00000,00000,00000,000000645,00,3.50,
'4202026000009276099000133798682811',1,AL,N,00000,00000,00000,000001613,00,3.50,
'4202026000009276099000133765474386',1,AS,N,00000,00000,00000,000001617,03,4.60,
'4202026000009276099000133718302965',1,AS,N,00000,00000,00000,000000199,08,4.60,
'4202026000009276099000133723020076',1,AS,N,00000,00000,00000,000000079,03,4.60,
'4202026000009276099000133749259288',2,AF,N,00000,00000,00000,000000052,00,4.50,
'4202026000009276099000133706202243',2,AF,N,00000,00000,00000,000002007,00,4.50,
'4202026000009276099000133794758846',2,AF,N,00000,00000,00000,000006617,00,4.50,
'4202026000009276099000133715671923',2,AC,N,00000,00000,00000,000002073,06,5.35,
'4202026000009276099000133750792974',2,AC,N,00000,00000,00000,000003432,05,5.35,
'4202026000009276099000133768699585',2,AC,N,00000,00000,00000,000007230,01,5.35,
