Weight,5D,3D
1,2.97,3.97
2,2.97,3.97
3,3.16,4.16
4,3.35,4.35
5,3.55,4.55
6,3.75,4.75
7,3.94,4.94
8,4.12,5.12
9,4.3,5.3
10,4.47,5.47
11,4.63,5.63
12,4.79,5.79
13,4.94,5.94
14,5.09,6.09
15,5.24,6.24
16,5.39,6.39
17,5.54,6.54
18,5.69,6.69
19,5.83,6.83
20,5.98,6.98
21,6.13,7.13
22,6.29,7.29
23,6.45,7.45
24,6.6,7.6
25,6.75,7.75
26,6.9,7.9
27,7.05,8.05
28,7.2,8.2
29,7.35,8.35
30,7.49,8.49
31,7.64,8.64
32,7.79,8.79
33,7.94,8.94
34,8.09,9.09
35,8.24,9.24
36,8.38,9.38
37,8.52,9.52
38,8.67,9.67
39,8.82,9.82
40,8.96,9.96
41,9.1,10.1
42,9.24,10.24
43,9.38,10.38
44,9.51,10.51
45,9.65,10.65
46,9.79,10.79
47,9.93,10.93
48,10.06,11.06
49,10.2,11.2
50,10.34,11.34
51,10.48,11.48
52,10.62,11.62
53,10.76,11.76
54,10.91,11.91
55,11.06,12.06
56,11.2,12.2
57,11.36,12.36
58,11.52,12.52
59,11.68,12.68
60,11.84,12.84
61,11.99,12.99
62,12.13,13.13
63,12.28,13.28
64,12.43,13.43
65,12.58,13.58
66,12.73,13.73
67,12.88,13.88
68,13.03,14.03
69,13.18,14.18
70,13.33,14.33
BN,5.98,6.98
OS,18.15,18.15
