Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
S2,3,B,5D,0,0,0,*,0.2063,0.9999
S2,3,B,5D,0,0,1,*,0.2063,0.9999
S2,3,B,5D,0,0,2,*,0.2063,0.9999
S2,3,S,5D,0,0,0,*,0.2063,0.9999
S2,3,S,5D,0,0,1,*,0.2063,0.9999
S2,3,S,5D,0,0,2,*,0.2063,0.9999
S2,3,D,5D,0,0,0,*,0.2063,0.9999
S2,3,D,5D,0,0,1,*,0.2063,0.9999
S2,3,D,5D,0,0,2,*,0.2063,0.9999
S2,3,N,BM,0,0,0,*,0.2063,0.9999
S2,3,N,BM,0,0,1,*,0.2063,0.9999
S2,3,N,BM,0,0,2,*,0.2063,0.9999
S2,3,B,BM,0,0,0,*,0.2063,0.9999
S2,3,B,BM,0,0,1,*,0.2063,0.9999
S2,3,B,BM,0,0,2,*,0.2063,0.9999
S2,3,N,MB,0,0,0,*,0.2063,0.9999
S2,3,N,MB,0,0,1,*,0.2063,0.9999
S2,3,N,MB,0,0,2,*,0.2063,0.9999
S2,4,B,5D,0,0,0,*,0.0001,0.9999
S2,4,B,5D,0,0,1,*,0.0001,0.9999
S2,4,B,5D,0,0,2,*,0.0001,0.9999
S2,4,S,5D,0,0,0,*,0.0001,0.9999
S2,4,S,5D,0,0,1,*,0.0001,0.9999
S2,4,S,5D,0,0,2,*,0.0001,0.9999
S2,4,D,5D,0,0,0,*,0.0001,0.9999
S2,4,D,5D,0,0,1,*,0.0001,0.9999
S2,4,D,5D,0,0,2,*,0.0001,0.9999
S2,4,B,3D,0,0,0,*,0.0001,0.9999
S2,4,B,3D,0,0,1,*,0.0001,0.9999
S2,4,B,3D,0,0,2,*,0.0001,0.9999
S2,4,S,3D,0,0,0,*,0.0001,0.9999
S2,4,S,3D,0,0,1,*,0.0001,0.9999
S2,4,S,3D,0,0,2,*,0.0001,0.9999
S2,4,N,BM,0,0,0,*,0.0001,0.9999
S2,4,N,BM,0,0,1,*,0.0001,0.9999
S2,4,N,BM,0,0,2,*,0.0001,0.9999
